City_Name,State,Year,Population,Job_Postings,College_Count,Skill_Center_Count,Green_Cover_Percentage,Internet_Penetration_Rate,Startup_Count,Road_Connectivity_Score,Public_Transport_Availability,Affordability_Index,Opportunity_Access_Score
Panipat,Haryana,2023,231932,38158,72,21,17.8,48.58,330,45.92,33.37,14.29,65.09
Visakhapatnam,Andhra Pradesh,2023,427069,2433,64,21,40.87,73.64,252,43.19,29.12,61.19,13.95
Solapur,Maharashtra,2023,748143,189,62,47,40.92,61.04,243,59.24,4.65,60.75,17.05
Panipat,Haryana,2021,765987,8792,60,14,50.42,56.75,564,23.09,24.1,68.33,61.0
Hubli,Karnataka,2022,704365,35920,36,40,47.77,63.38,565,54.67,18.49,96.96,77.51
Vellore,Tamil Nadu,2021,1371741,33763,14,31,56.09,44.87,726,52.08,96.12,84.45,74.73
Aizawl,Mizoram,2024,1497527,12185,89,45,17.05,84.12,64,1.56,42.34,39.49,29.35
Meerut,Uttar Pradesh,2022,1450224,33159,35,35,48.56,44.07,230,65.11,91.5,85.0,44.95
Udaipur,Rajasthan,2025,1796548,30818,44,40,23.74,70.87,738,11.96,71.32,76.08,56.13
Amravati,Maharashtra,2022,1267752,206,15,26,11.27,45.93,574,89.58,47.54,56.33,69.55
Saharanpur,Uttar Pradesh,2024,1346862,33827,13,32,39.94,78.21,795,92.97,80.81,63.34,87.15
Solapur,Maharashtra,2023,300235,25939,30,11,26.22,46.71,472,31.8,11.01,22.79,42.71
Aligarh,Uttar Pradesh,2020,502690,40294,70,8,36.7,66.67,224,11.99,33.76,94.29,32.32
Tumkur,Karnataka,2020,218451,46576,58,12,22.59,67.35,112,14.81,99.77,26.68,97.66
Solapur,Maharashtra,2025,1542646,24548,96,33,41.72,77.44,52,48.95,98.57,24.21,67.21
Meerut,Uttar Pradesh,2022,911774,37157,24,5,41.62,74.84,906,81.64,79.83,15.07,50.82
Cuttack,Odisha,2024,411955,2811,59,36,10.83,68.17,146,34.87,9.62,94.05,39.76
Panipat,Haryana,2021,1421831,37504,11,28,46.76,51.5,414,87.73,25.79,66.0,81.72
Port Blair,Andaman and Nicobar Islands,2021,786976,38191,12,5,55.02,74.82,8,27.89,70.04,84.67,85.63
Udaipur,Rajasthan,2023,768234,32711,36,38,43.45,71.94,111,10.15,66.35,0.51,16.08
Durgapur,West Bengal,2021,102869,46760,33,4,21.86,57.9,915,36.65,74.42,72.09,30.81
Kohima,Nagaland,2023,207450,40818,86,22,22.2,93.52,364,48.67,90.61,43.44,35.01
Udaipur,Rajasthan,2023,1518175,5600,69,48,24.04,41.34,48,4.36,99.46,46.99,27.96
Jalandhar,Punjab,2022,787995,33828,24,29,31.41,93.17,98,98.03,7.53,30.57,19.09
Udaipur,Rajasthan,2022,354079,26641,25,42,56.81,78.28,871,7.04,20.89,67.11,35.86
Salem,Tamil Nadu,2021,1903649,45017,17,40,44.85,78.64,175,55.28,29.65,41.98,25.62
Nanded,Maharashtra,2024,319963,22009,7,36,49.91,75.75,511,39.68,5.08,88.66,2.76
Vellore,Tamil Nadu,2021,766326,33621,51,25,17.75,94.0,149,59.08,3.05,3.73,82.26
Shillong,Meghalaya,2023,1262208,14599,53,44,58.26,65.15,773,5.17,53.14,54.06,63.74
Cuttack,Odisha,2024,1382417,17019,30,19,49.76,54.9,603,74.4,25.09,18.43,8.09
Warangal,Telangana,2023,1223316,1081,1,47,22.51,70.21,559,18.29,93.46,63.83,51.67
Madurai,Tamil Nadu,2025,352764,8130,76,26,27.8,81.68,696,34.19,9.18,9.42,31.14
Madurai,Tamil Nadu,2023,406063,43225,90,48,50.35,59.05,253,43.39,39.85,61.59,63.51
Vellore,Tamil Nadu,2023,533374,23289,19,32,52.82,76.23,515,61.59,94.39,94.43,86.72
Tumkur,Karnataka,2022,821747,18071,12,35,42.16,65.2,690,82.06,62.59,82.04,65.15
Shillong,Meghalaya,2023,251836,43404,12,31,28.86,42.14,753,68.3,7.12,31.9,84.49
Rajahmundry,Andhra Pradesh,2025,165953,41576,7,4,44.64,59.16,74,87.75,73.51,80.35,28.2
Ujjain,Madhya Pradesh,2024,643176,35735,64,35,59.53,62.69,977,25.0,58.05,86.71,56.19
Gwalior,Madhya Pradesh,2020,775510,5644,23,25,21.91,60.78,880,50.53,82.65,32.0,89.55
Port Blair,Andaman and Nicobar Islands,2023,509995,7400,19,12,27.75,92.62,734,95.06,57.34,63.18,44.84
Bhavnagar,Gujarat,2023,320184,31667,85,36,57.31,82.97,38,9.12,49.44,5.76,54.95
Madurai,Tamil Nadu,2022,138102,8924,75,18,58.43,77.84,953,61.82,10.11,8.41,70.1
Puducherry,Puducherry,2020,455249,23322,66,5,35.67,52.83,647,37.43,37.06,81.28,94.72
Nellore,Andhra Pradesh,2024,617923,35909,31,19,48.86,70.71,90,24.87,33.03,43.45,25.37
Gangtok,Sikkim,2023,890141,30355,92,8,15.88,75.71,0,68.1,23.75,40.02,47.77
Nellore,Andhra Pradesh,2020,1391380,49285,58,44,58.9,70.58,814,89.11,52.77,99.3,7.38
Bhavnagar,Gujarat,2022,375987,44472,18,47,41.47,78.27,414,99.58,69.69,38.42,73.71
Meerut,Uttar Pradesh,2023,986089,10975,16,8,29.73,45.87,372,27.74,18.81,46.37,35.34
Gangtok,Sikkim,2023,520571,37732,41,36,59.31,78.4,144,27.98,41.12,60.28,27.1
Aligarh,Uttar Pradesh,2025,222402,45445,82,5,40.67,63.0,823,87.67,55.16,16.48,41.13
Ranchi,Jharkhand,2021,1915790,47280,11,21,47.48,61.61,826,84.21,83.83,46.87,41.48
Ranchi,Jharkhand,2024,1058447,47926,6,28,50.65,94.98,869,91.32,58.51,72.61,75.71
Guntur,Andhra Pradesh,2020,1655540,38765,1,45,40.31,52.58,880,75.7,4.69,26.87,2.22
Vellore,Tamil Nadu,2025,1584917,49922,50,12,50.82,93.24,989,87.67,40.35,13.4,2.88
Bilaspur,Chhattisgarh,2024,926196,12173,66,11,20.65,47.5,763,98.05,60.81,63.66,55.48
Vellore,Tamil Nadu,2023,456600,31703,79,30,41.1,87.43,132,79.65,45.93,84.21,76.89
Jabalpur,Madhya Pradesh,2024,323777,7941,53,2,26.44,74.84,751,34.16,53.73,46.01,58.48
Meerut,Uttar Pradesh,2025,1826351,24071,4,40,44.83,62.64,863,47.4,66.76,17.23,19.23
Guntur,Andhra Pradesh,2024,1629297,45659,42,22,14.44,46.63,232,35.6,89.42,12.87,33.01
Salem,Tamil Nadu,2020,123321,10488,47,22,14.09,88.05,830,37.73,0.26,86.83,8.45
Bhavnagar,Gujarat,2024,1891667,302,56,22,21.81,81.8,77,46.25,74.75,3.67,25.24
Jamnagar,Gujarat,2022,904462,17302,18,38,36.63,53.34,984,73.74,18.23,56.4,84.07
Kolhapur,Maharashtra,2021,870173,47915,25,17,27.15,66.07,393,78.92,49.84,8.69,53.71
Vellore,Tamil Nadu,2020,123275,6738,42,41,26.87,89.48,319,57.08,35.61,98.65,60.58
Udaipur,Rajasthan,2024,1044789,26900,70,6,22.3,48.84,842,8.79,80.59,5.57,84.23
Vijayawada,Andhra Pradesh,2022,856254,4324,36,24,15.6,61.88,731,91.74,0.53,97.51,49.07
Rohtak,Haryana,2022,360669,38328,66,15,36.75,66.21,172,76.95,18.7,32.37,42.54
Udaipur,Rajasthan,2023,1054480,39051,47,1,40.53,55.87,804,50.61,93.2,32.06,59.39
Jalandhar,Punjab,2021,814743,9,5,23,37.45,51.1,167,80.99,25.46,68.15,76.02
Meerut,Uttar Pradesh,2025,1044118,36258,94,31,56.48,85.68,235,40.85,93.29,99.09,20.5
Bhavnagar,Gujarat,2022,872608,5415,64,22,12.4,82.98,778,79.53,20.16,16.37,16.43
Madurai,Tamil Nadu,2022,779290,77,26,4,25.81,72.36,401,81.66,43.91,37.69,46.27
